사업부(조정),부서명,대분류,중분류,Cost Elem desc,합계 : 202501,합계 : 202502,합계 : 202503,합계 : 202504,합계 : 202505,합계 : 202506,합계 : 202507,합계 : 202508,합계 : 202509, 합계 : 202510 
MLB,마케팅,복리후생비,공적금,복리후생비_공적금,"52,648.00","52,648.00","54,568.00","54,568.00","54,568.00","54,568.00","52,718.00","68,810.00","68,115.00"," 64,927 "
MLB,마케팅,복리후생비,사회보험,복리후생비_사회보험,"112,753.77","112,753.77","116,865.77","116,865.77","116,865.77","116,865.77","112,905.31","153,425.89","139,841.84"," 139,154 "
MLB,온라인,복리후생비,공적금,복리후생비_공적금,"68,758.00","68,758.00","63,185.00","58,755.00","62,991.00","65,781.00","65,128.00","82,788.00","76,535.00"," 76,075 "
MLB,온라인,복리후생비,사회보험,복리후생비_사회보험,"147,262.73","147,262.73","135,325.77","125,837.07","134,910.33","143,134.33","139,487.25","177,319.15","163,912.15"," 162,933 "
MLB,유통MD,복리후생비,공적금,복리후생비_공적금,"17,852.00","17,852.00","17,852.00","17,852.00","17,852.00","17,852.00","17,852.00","22,708.00","27,870.00"," 40,789 "
MLB,유통MD,복리후생비,사회보험,복리후생비_사회보험,"38,232.67","38,232.67","38,232.67","38,232.67","38,232.67","38,232.67","38,232.67","48,638.87","59,690.19"," 87,359 "
MLB,인테리어,복리후생비,공적금,복리후생비_공적금,"30,852.00","30,852.00","30,852.00","30,276.00","29,256.00","30,768.00","30,768.00","41,224.00","37,442.00"," 37,350 "
MLB,인테리어,복리후생비,사회보험,복리후생비_사회보험,"66,074.41","66,074.41","66,074.41","64,840.81","62,656.31","65,895.20","65,895.20","88,281.44","80,183.37"," 79,988 "
MLB,Business Operation,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,Business Plan,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,Client Service,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,IT,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,MD,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,MP(상품기획),수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
MLB,Supply Chain,수주회,수주회,광고비_수주회,0,0,0,0,0,0,0,0,0, - 
