2025년,공통,MLB,KIDS,DX
25년1월,73명,133명,24명,22명
25년2월,72명,133명,25명,22명
25년3월,72명,132명,25명,23명
25년4월,72명,133명,27명,28명
25년5월,72명,132명,26명,19명
25년6월,71명,130명,27명,20명
25년7월,72명,132명,25명,25명
25년8월,72명,128명,26명,26명
25년9월,72명,127명,25명,26명
25년10월,71명,128명,25명,26명
25년11월,73명,137명,25명,33명
25년12월,73명,137명,25명,35명
