브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
KIDS,MD,MD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,1855.56,202408,
KIDS,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,10745.0,202408,
KIDS,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,22911.16,202408,
KIDS,MD,MD,인건비,"급여,성과급",인건비,인건비,123122.48,202408,
KIDS,VMD,VMD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,1096.26,202408,
KIDS,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,8154.0,202408,
KIDS,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,17428.44,202408,
KIDS,VMD,VMD,인건비,"급여,성과급",인건비,인건비,60736.2,202408,
KIDS,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,1834.22,202408,
KIDS,VMD,VMD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,2184.0,202408,
KIDS,Wholesale,Wholesale,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,864.46,202408,
KIDS,Wholesale,Wholesale,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,12907.0,202408,
KIDS,Wholesale,Wholesale,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,27826.57,202408,
KIDS,Wholesale,Wholesale,인건비,"급여,성과급",인건비,인건비,118973.0,202408,
KIDS,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,7958.0,202408,
KIDS,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,17104.49,202408,
KIDS,리테일,리테일,인건비,"급여,성과급",인건비,인건비,105093.99,202408,
KIDS,리테일,리테일,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,2635.69,202408,
KIDS,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,759109.02,202408,
KIDS,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,6699.0,202408,
KIDS,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,14285.25,202408,
KIDS,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,51725.05,202408,
KIDS,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,9419.0,202408,
KIDS,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,20035.92,202408,
KIDS,온라인,온라인,인건비,"급여,성과급",인건비,인건비,83038.07,202408,
KIDS,인테리어,인테리어,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3127.0,202408,
KIDS,인테리어,인테리어,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,6673.38,202408,
KIDS,인테리어,인테리어,인건비,"급여,성과급",인건비,인건비,20475.4,202408,
