브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
DX,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,14351.0,202503,
DX,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,30736.88,202503,
DX,MD,MD,인건비,"급여,성과급",인건비,인건비,545650.14,202503,
DX,MD,MD,인건비,"파트타임,인턴",노무비,노무비,3702.91,202503,
DX,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,6252.3,202503,
DX,MO,MO,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,4242.62,202503,
DX,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,8527.0,202503,
DX,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,18262.86,202503,
DX,VMD,VMD,인건비,"급여,성과급",인건비,인건비,200396.97,202503,
DX,VMD,VMD,인건비,"파트타임,인턴",노무비,노무비,3876.0,202503,
DX,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,4211.97,202503,
DX,VMD,VMD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,2473.75,202503,
DX,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,9943.0,202503,
DX,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,21295.08,202503,
DX,리테일,리테일,인건비,"급여,성과급",인건비,인건비,368658.13,202503,
DX,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,1521502.11,202503,
DX,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,21540.0,202503,
DX,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,46131.5,202503,
DX,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,419511.22,202503,
DX,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,15100.0,202503,
DX,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,32341.4,202503,
DX,온라인,온라인,인건비,"급여,성과급",인건비,인건비,196979.88,202503,
