브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
MLB,Business Development,Business Development,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,139.03,202406,
MLB,Business Development,Business Development,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3458.0,202406,
MLB,Business Development,Business Development,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,7421.52,202406,
MLB,Business Development,Business Development,인건비,"급여,성과급",인건비,인건비,39941.33,202406,
MLB,Business Development,Business Development,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,2939.29,202406,
MLB,MD,MD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2884.29,202406,
MLB,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,40395.0,202406,
MLB,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,86735.69,202406,
MLB,MD,MD,인건비,"급여,성과급",인건비,인건비,624320.0,202406,
MLB,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,190560.43,202406,
MLB,MP(상품기획),MP(상품기획),복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,6894.0,202406,
MLB,MP(상품기획),MP(상품기획),복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,14798.25,202406,
MLB,MP(상품기획),MP(상품기획),인건비,"급여,성과급",인건비,인건비,90013.33,202406,
MLB,MP(상품기획),MP(상품기획),출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,8125.35,202406,
MLB,VMD,VMD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,3312.31,202406,
MLB,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,18570.0,202406,
MLB,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,39854.95,202406,
MLB,VMD,VMD,인건비,"급여,성과급",인건비,인건비,230860.63,202406,
MLB,VMD,VMD,인건비,"파트타임,인턴",노무비,노무비,5823.45,202406,
MLB,VMD,VMD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,48793.27,202406,
MLB,Wholesale,Wholesale,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,611.22,202406,
MLB,Wholesale,Wholesale,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,41931.0,202406,
