브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
공통,Business Development,Business Development,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,75.4,202408,
공통,Business Development,Business Development,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,3865.97,202408,
공통,Business Development,Business Development,기타,접대비,접대비,접대비,393.56,202408,
공통,Business Operation,Business Operation,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,55761.0,202408,
공통,Business Plan,Business Plan,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,488.76,202408,
공통,Business Plan,Business Plan,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,75.61,202408,
공통,Business Plan,Business Plan,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3300.0,202408,
공통,Business Plan,Business Plan,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,7030.1,202408,
공통,Business Plan,Business Plan,인건비,"급여,성과급",인건비,인건비,36666.67,202408,
공통,IT,IT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,36.87,202408,
공통,IT,IT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,38564.62,202408,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,120700.82,202408,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_홈페이지등,감가상각비_홈페이지등,1185.68,202408,
공통,IT,IT,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,97.08,202408,
공통,IT,IT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,3131.33,202408,
공통,IT,IT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,832.3,202408,
공통,IT,IT,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,27720.0,202408,
공통,IT,IT,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,438.8,202408,
공통,IT,IT,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,59111.63,202408,
공통,IT,IT,복리후생비,식대,복리후생비_식대,복리후생비_식대,120.0,202408,
공통,IT,IT,인건비,"급여,성과급",인건비,인건비,336481.71,202408,
공통,IT,IT,지급수수료,IT비용,지급수수료_소프트웨어사용료,지급수수료_소프트웨어사용료,732.74,202408,
공통,IT,IT,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,421111.15,202408,
공통,MD,MD,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,32.81,202408,
공통,MD,MD,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,7141.25,202408,
