브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
공통,Business Development,Business Development,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,23.4,202401,
공통,Business Development,Business Development,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,660.48,202401,
공통,Business Plan,Business Plan,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,1018.45,202401,
공통,Business Plan,Business Plan,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,443.47,202401,
공통,Business Plan,Business Plan,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,7685.0,202401,
공통,Business Plan,Business Plan,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,17136.96,202401,
공통,Business Plan,Business Plan,인건비,"급여,성과급",인건비,인건비,99733.33,202401,
공통,Client Service,Client Service,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,141.58,202401,
공통,IT,IT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,36.87,202401,
공통,IT,IT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,33975.19,202401,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,135954.78,202401,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_홈페이지등,감가상각비_홈페이지등,1185.68,202401,
공통,IT,IT,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,20.38,202401,
공통,IT,IT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,1443.01,202401,
공통,IT,IT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,797.48,202401,
공통,IT,IT,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,20202.0,202401,
공통,IT,IT,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,45049.46,202401,
공통,IT,IT,인건비,"급여,성과급",인건비,인건비,229297.35,202401,
공통,IT,IT,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,75381.27,202401,
공통,MD,MD,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,164.4,202401,
공통,MD,MD,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,2679.2,202401,
공통,MD,MD,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,1800.0,202401,
공통,MD,MD,복리후생비,식대,복리후생비_식대,복리후생비_식대,1023.78,202401,
공통,MD,MD,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,73517.72,202401,
공통,MD,MD,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,2306.08,202401,
공통,MGT,MGT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,1022.2,202401,
공통,MGT,MGT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2123.92,202401,
공통,MGT,MGT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,375.0,202401,
공통,MGT,MGT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,6559.76,202401,
공통,MGT,MGT,기타,접대비,접대비,접대비,100965.23,202401,
공통,MGT,MGT,복리후생비,식대,복리후생비_식대,복리후생비_식대,17607.87,202401,
공통,MGT,MGT,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,109224.21,202401,
공통,MGT,MGT,인건비,"급여,성과급",인건비,인건비,552735.67,202401,
공통,MGT,MGT,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,19260.06,202401,
공통,MP(상품기획),MP(상품기획),기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,60.09,202401,
공통,Process Inovation,Process Inovation,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,46925.46,202401,
공통,Process Inovation,Process Inovation,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,131.0,202401,
공통,Process Inovation,Process Inovation,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,12409.0,202401,
