브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
MLB,Business Development,Business Development,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,139.04,202407,
MLB,Business Development,Business Development,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3458.0,202407,
MLB,Business Development,Business Development,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,7421.52,202407,
MLB,Business Development,Business Development,인건비,"급여,성과급",인건비,인건비,39941.33,202407,
MLB,MD,MD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2884.36,202407,
MLB,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,40395.0,202407,
MLB,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,86735.69,202407,
MLB,MD,MD,인건비,"급여,성과급",인건비,인건비,881255.27,202407,
MLB,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,11357.54,202407,
MLB,MP(상품기획),MP(상품기획),복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,6894.0,202407,
MLB,MP(상품기획),MP(상품기획),복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,14798.25,202407,
MLB,MP(상품기획),MP(상품기획),인건비,"급여,성과급",인건비,인건비,90013.33,202407,
MLB,VMD,VMD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,3162.41,202407,
MLB,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,17370.0,202407,
MLB,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,37279.35,202407,
MLB,VMD,VMD,인건비,"급여,성과급",인건비,인건비,216914.27,202407,
MLB,VMD,VMD,인건비,"파트타임,인턴",노무비,노무비,4386.24,202407,
MLB,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,6493.06,202407,
MLB,VMD,VMD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,209.51,202407,
MLB,Wholesale,Wholesale,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,461.32,202407,
MLB,Wholesale,Wholesale,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,41931.0,202407,
MLB,Wholesale,Wholesale,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,90214.46,202407,
MLB,Wholesale,Wholesale,인건비,"급여,성과급",인건비,인건비,581866.8,202407,
MLB,Wholesale,Wholesale,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,24911.16,202407,
MLB,Wholesale,Wholesale,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,3468.23,202407,
MLB,리테일,리테일,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,230.66,202407,
MLB,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,12669.0,202407,
MLB,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,27194.1,202407,
MLB,리테일,리테일,인건비,"급여,성과급",인건비,인건비,154150.49,202407,
MLB,리테일,리테일,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,6943.1,202407,
