브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
공통,Business Development,Business Development,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,427.93,202402,
공통,Business Development,Business Development,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,657.72,202402,
공통,Business Plan,Business Plan,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,1018.48,202402,
공통,Business Plan,Business Plan,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,-25.1,202402,
공통,Business Plan,Business Plan,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,7685.0,202402,
공통,Business Plan,Business Plan,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,17136.96,202402,
공통,Business Plan,Business Plan,인건비,"급여,성과급",인건비,인건비,153167.57,202402,
공통,Client Service,Client Service,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,141.58,202402,
공통,IT,IT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,36.88,202402,
공통,IT,IT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,34879.79,202402,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,136792.51,202402,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_홈페이지등,감가상각비_홈페이지등,1185.69,202402,
공통,IT,IT,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,749.53,202402,
공통,IT,IT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,15945.5,202402,
공통,IT,IT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,554.59,202402,
공통,IT,IT,기타,접대비,접대비,접대비,546.99,202402,
공통,IT,IT,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,20202.0,202402,
공통,IT,IT,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,45049.46,202402,
공통,IT,IT,복리후생비,식대,복리후생비_식대,복리후생비_식대,160.0,202402,
공통,IT,IT,인건비,"급여,성과급",인건비,인건비,388454.82,202402,
공통,IT,IT,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,448549.08,202402,
공통,MD,MD,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,130.74,202402,
공통,MD,MD,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,1545.39,202402,
공통,MD,MD,기타,접대비,접대비,접대비,1408.11,202402,
공통,MD,MD,복리후생비,식대,복리후생비_식대,복리후생비_식대,244.8,202402,
공통,MD,MD,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,39402.6,202402,
공통,MD,MD,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,2306.08,202402,
공통,MGT,MGT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,1022.21,202402,
공통,MGT,MGT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2123.91,202402,
공통,MGT,MGT,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,24.15,202402,
공통,MGT,MGT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,7247.63,202402,
공통,MGT,MGT,기타,접대비,접대비,접대비,38683.68,202402,
공통,MGT,MGT,복리후생비,식대,복리후생비_식대,복리후생비_식대,7140.42,202402,
공통,MGT,MGT,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,128073.1,202402,
공통,MGT,MGT,인건비,"급여,성과급",인건비,인건비,768061.0,202402,
공통,MGT,MGT,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,9366.42,202402,
공통,MP(상품기획),MP(상품기획),기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,249.0,202402,
공통,MP(상품기획),MP(상품기획),복리후생비,식대,복리후생비_식대,복리후생비_식대,240.0,202402,
공통,Process Inovation,Process Inovation,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,46925.47,202402,
공통,Process Inovation,Process Inovation,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,250.72,202402,
공통,Process Inovation,Process Inovation,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,12409.0,202402,
