브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
KIDS,MD,MD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,1832.38,202509,
KIDS,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,19331.0,202509,
KIDS,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,41398.49,202509,
KIDS,MD,MD,인건비,"급여,성과급",인건비,인건비,189599.02,202509,
KIDS,MD,MD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,125.05,202509,
KIDS,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,19222.25,202509,
KIDS,VMD,VMD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,215.58,202509,
KIDS,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,7476.0,202509,
KIDS,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,16045.96,202509,
KIDS,VMD,VMD,인건비,"급여,성과급",인건비,인건비,67267.15,202509,
KIDS,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,27719.65,202509,
KIDS,Wholesale,Wholesale,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,812.01,202509,
KIDS,Wholesale,Wholesale,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,10808.0,202509,
KIDS,Wholesale,Wholesale,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,23146.45,202509,
KIDS,Wholesale,Wholesale,인건비,"급여,성과급",인건비,인건비,139663.68,202509,
KIDS,Wholesale,Wholesale,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,10883.8,202509,
KIDS,리테일,리테일,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,646.76,202509,
KIDS,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,10988.0,202509,
KIDS,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,23531.95,202509,
KIDS,리테일,리테일,인건비,"급여,성과급",인건비,인건비,187459.0,202509,
KIDS,리테일,리테일,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,5665.47,202509,
KIDS,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,1793238.67,202509,
KIDS,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,7334.0,202509,
KIDS,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,15705.7,202509,
KIDS,마케팅,마케팅,수주회,수주회,광고비_수주회,광고비_수주회,52497.1,202509,
KIDS,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,57559.46,202509,
KIDS,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,11171.0,202509,
KIDS,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,23924.09,202509,
KIDS,온라인,온라인,인건비,"급여,성과급",인건비,인건비,92751.41,202509,
KIDS,인테리어,인테리어,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,10210.95,202509,
