브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
DX,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,14351.0,202502,
DX,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,30736.88,202502,
DX,MD,MD,인건비,"급여,성과급",인건비,인건비,253868.0,202502,
DX,MD,MD,인건비,"파트타임,인턴",노무비,노무비,153.19,202502,
DX,MD,MD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,118.35,202502,
DX,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,10218.47,202502,
DX,MO,MO,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,6236.33,202502,
DX,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,8527.0,202502,
DX,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,18262.86,202502,
DX,VMD,VMD,인건비,"급여,성과급",인건비,인건비,88677.33,202502,
DX,VMD,VMD,인건비,"파트타임,인턴",노무비,노무비,1693.35,202502,
DX,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,352.83,202502,
DX,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,9943.0,202502,
DX,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,21295.08,202502,
DX,리테일,리테일,인건비,"급여,성과급",인건비,인건비,124472.0,202502,
DX,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,1483169.57,202502,
DX,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,21540.0,202502,
DX,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,46131.5,202502,
DX,마케팅,마케팅,수주회,수주회,광고비_수주회,광고비_수주회,490550.52,202502,
DX,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,243905.33,202502,
DX,마케팅,마케팅,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,282.0,202502,
DX,마케팅,마케팅,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,5700.49,202502,
DX,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,10720.0,202502,
DX,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,22960.9,202502,
DX,온라인,온라인,인건비,"급여,성과급",인건비,인건비,132793.33,202502,
