브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
공통,Business Development,Business Development,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,67.02,202406,
공통,Business Development,Business Development,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,359.77,202406,
공통,Business Development,Business Development,기타,접대비,접대비,접대비,2021.56,202406,
공통,Business Operation,Business Operation,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,32341.67,202406,
공통,Business Operation,Business Operation,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,4751.89,202406,
공통,Business Plan,Business Plan,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,883.29,202406,
공통,Business Plan,Business Plan,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,8.38,202406,
공통,Business Plan,Business Plan,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,151.31,202406,
공통,Business Plan,Business Plan,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,7685.0,202406,
공통,Business Plan,Business Plan,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,926.0,202406,
공통,Business Plan,Business Plan,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,16496.47,202406,
공통,Business Plan,Business Plan,인건비,"급여,성과급",인건비,인건비,118798.32,202406,
공통,Business Plan,Business Plan,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,230.06,202406,
공통,IT,IT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,36.87,202406,
공통,IT,IT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,39990.07,202406,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,120700.86,202406,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_홈페이지등,감가상각비_홈페이지등,1185.68,202406,
공통,IT,IT,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,208.17,202406,
공통,IT,IT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,4789.11,202406,
공통,IT,IT,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,20202.0,202406,
공통,IT,IT,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,207.3,202406,
공통,IT,IT,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,43365.75,202406,
공통,IT,IT,복리후생비,식대,복리후생비_식대,복리후생비_식대,40.0,202406,
공통,IT,IT,인건비,"급여,성과급",인건비,인건비,340497.33,202406,
공통,IT,IT,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,588776.67,202406,
공통,IT,IT,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,9041.8,202406,
공통,MD,MD,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,39.43,202406,
공통,MD,MD,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,632.05,202406,
공통,MD,MD,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,3144.0,202406,
공통,MD,MD,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,85718.85,202406,
공통,MD,MD,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,2306.08,202406,
공통,MGT,MGT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,1022.2,202406,
공통,MGT,MGT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2123.92,202406,
공통,MGT,MGT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,-8436.44,202406,
공통,MGT,MGT,기타,접대비,접대비,접대비,7748.4,202406,
공통,MGT,MGT,복리후생비,식대,복리후생비_식대,복리후생비_식대,2131.0,202406,
공통,MGT,MGT,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,107896.76,202406,
공통,MGT,MGT,인건비,"급여,성과급",인건비,인건비,1003372.63,202406,
공통,MGT,MGT,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,16607.67,202406,
공통,MGT,MGT,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,23996.01,202406,
공통,MP(상품기획),MP(상품기획),기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,27.02,202406,
공통,Process Inovation,Process Inovation,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,46925.46,202406,
공통,Process Inovation,Process Inovation,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,13.21,202406,
공통,Process Inovation,Process Inovation,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,12409.0,202406,
공통,Process Inovation,Process Inovation,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,26637.44,202406,
공통,Process Inovation,Process Inovation,복리후생비,식대,복리후생비_식대,복리후생비_식대,400.0,202406,
공통,Process Inovation,Process Inovation,인건비,"급여,성과급",인건비,인건비,175712.0,202406,
공통,Process Inovation,Process Inovation,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,16399.37,202406,
공통,Process Inovation,Process Inovation,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,3792.9,202406,
공통,Supply Chain,Supply Chain,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,5330.47,202406,
공통,Supply Chain,Supply Chain,광고비,샘플사용,간접 샘플 수수료,간접 샘플 수수료,491.5,202406,
공통,Supply Chain,Supply Chain,기타,물류비,지급수수료_운송비,지급수수료_운송비,20000.0,202406,
공통,Supply Chain,Supply Chain,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,498.05,202406,
공통,Supply Chain,Supply Chain,기타,사무용품비,소모품비_포장소모품,소모품비_포장소모품,6833.08,202406,
공통,Supply Chain,Supply Chain,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,119.41,202406,
공통,Supply Chain,Supply Chain,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,39611.0,202406,
공통,Supply Chain,Supply Chain,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,85604.61,202406,
공통,Supply Chain,Supply Chain,인건비,"급여,성과급",인건비,인건비,606040.14,202406,
