브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
DX,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,14351.0,202501,
DX,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,30736.88,202501,
DX,MD,MD,인건비,"급여,성과급",인건비,인건비,362706.91,202501,
DX,MD,MD,인건비,"파트타임,인턴",노무비,노무비,3781.52,202501,
DX,MD,MD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,129.14,202501,
DX,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,27519.85,202501,
DX,MO,MO,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,458.81,202501,
DX,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,8527.0,202501,
DX,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,18262.86,202501,
DX,VMD,VMD,인건비,"급여,성과급",인건비,인건비,129879.85,202501,
DX,VMD,VMD,인건비,"파트타임,인턴",노무비,노무비,4414.59,202501,
DX,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,4008.53,202501,
DX,VMD,VMD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,8644.68,202501,
DX,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,9943.0,202501,
DX,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,21295.08,202501,
DX,리테일,리테일,인건비,"급여,성과급",인건비,인건비,217826.0,202501,
DX,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,2040382.01,202501,
DX,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,15060.0,202501,
DX,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,32253.5,202501,
DX,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,298336.84,202501,
DX,마케팅,마케팅,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,7757.11,202501,
DX,마케팅,마케팅,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,2767.34,202501,
DX,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,10720.0,202501,
DX,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,22960.9,202501,
DX,온라인,온라인,인건비,"급여,성과급",인건비,인건비,226057.91,202501,
DX,인테리어,인테리어,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,2515.58,202501,
