브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
공통,Business Development,Business Development,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,519.4,202410,
공통,Business Development,Business Development,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,521.16,202410,
공통,Business Development,Business Development,기타,접대비,접대비,접대비,337.0,202410,
공통,Business Operation,Business Operation,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,39436.34,202410,
공통,Business Plan,Business Plan,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,488.77,202410,
공통,Business Plan,Business Plan,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3300.0,202410,
공통,Business Plan,Business Plan,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,7056.5,202410,
공통,Business Plan,Business Plan,인건비,"급여,성과급",인건비,인건비,36666.67,202410,
공통,Client Service,Client Service,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,526.38,202410,
공통,IT,IT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,36.87,202410,
공통,IT,IT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,42080.22,202410,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,120700.82,202410,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_홈페이지등,감가상각비_홈페이지등,1185.69,202410,
공통,IT,IT,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,138.6,202410,
공통,IT,IT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,9606.73,202410,
공통,IT,IT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,477.3,202410,
공통,IT,IT,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,23415.0,202410,
공통,IT,IT,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,50072.32,202410,
공통,IT,IT,인건비,"급여,성과급",인건비,인건비,345674.35,202410,
공통,IT,IT,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,822573.66,202410,
공통,MD,MD,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,129.09,202410,
공통,MD,MD,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,3900.0,202410,
공통,MD,MD,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,820.72,202410,
공통,MD,MD,기타,접대비,접대비,접대비,3843.05,202410,
공통,MD,MD,복리후생비,식대,복리후생비_식대,복리후생비_식대,2400.25,202410,
공통,MD,MD,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,45844.89,202410,
공통,MD,MD,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,2306.08,202410,
공통,MGT,MGT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,1022.2,202410,
공통,MGT,MGT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2123.92,202410,
공통,MGT,MGT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,232.0,202410,
공통,MGT,MGT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,9107.41,202410,
공통,MGT,MGT,기타,접대비,접대비,접대비,33398.0,202410,
공통,MGT,MGT,복리후생비,식대,복리후생비_식대,복리후생비_식대,7026.7,202410,
공통,MGT,MGT,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,115170.17,202410,
공통,MGT,MGT,인건비,"급여,성과급",인건비,인건비,587905.2,202410,
공통,MGT,MGT,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,1859.43,202410,
공통,MGT,MGT,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,5587.37,202410,
공통,Process Inovation,Process Inovation,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,46925.47,202410,
공통,Process Inovation,Process Inovation,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,8.38,202410,
공통,Process Inovation,Process Inovation,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,13850.0,202410,
공통,Process Inovation,Process Inovation,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,29614.38,202410,
공통,Process Inovation,Process Inovation,인건비,"급여,성과급",인건비,인건비,186636.13,202410,
공통,Process Inovation,Process Inovation,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,32798.75,202410,
공통,Supply Chain,Supply Chain,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,4815.3,202410,
공통,Supply Chain,Supply Chain,광고비,샘플사용,간접 샘플 수수료,간접 샘플 수수료,-733.12,202410,
공통,Supply Chain,Supply Chain,기타,물류비,지급수수료_운송비,지급수수료_운송비,20000.0,202410,
공통,Supply Chain,Supply Chain,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,498.21,202410,
공통,Supply Chain,Supply Chain,기타,사무용품비,소모품비_포장소모품,소모품비_포장소모품,4602.69,202410,
공통,Supply Chain,Supply Chain,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,190.43,202410,
공통,Supply Chain,Supply Chain,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,43726.0,202410,
공통,Supply Chain,Supply Chain,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,93537.57,202410,
공통,Supply Chain,Supply Chain,복리후생비,식대,복리후생비_식대,복리후생비_식대,4387.0,202410,
