브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
MLB,Business Development,Business Development,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,139.03,202412,
MLB,Business Development,Business Development,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,3857.0,202412,
MLB,Business Development,Business Development,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,8249.53,202412,
MLB,Business Development,Business Development,인건비,"급여,성과급",인건비,인건비,39941.33,202412,
MLB,Business Development,Business Development,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,37.8,202412,
MLB,Business Development,Business Development,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,6184.79,202412,
MLB,MD,MD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,820.3,202412,
MLB,MD,MD,광고비,샘플사용,간접 샘플 수수료,간접 샘플 수수료,3461.94,202412,
MLB,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,56245.0,202412,
MLB,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,120275.16,202412,
MLB,MD,MD,인건비,"급여,성과급",인건비,인건비,838416.61,202412,
MLB,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,6948.29,202412,
MLB,MP(상품기획),MP(상품기획),복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,9213.0,202412,
MLB,MP(상품기획),MP(상품기획),복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,19700.77,202412,
MLB,MP(상품기획),MP(상품기획),인건비,"급여,성과급",인건비,인건비,90013.33,202412,
MLB,VMD,VMD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2702.48,202412,
MLB,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,26078.0,202412,
MLB,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,55760.33,202412,
MLB,VMD,VMD,인건비,"급여,성과급",인건비,인건비,293569.33,202412,
MLB,VMD,VMD,인건비,"파트타임,인턴",노무비,노무비,3858.12,202412,
MLB,Wholesale,Wholesale,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,42529.0,202412,
MLB,Wholesale,Wholesale,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,90948.04,202412,
MLB,Wholesale,Wholesale,인건비,"급여,성과급",인건비,인건비,474065.2,202412,
MLB,Wholesale,Wholesale,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,32543.49,202412,
MLB,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,17524.0,202412,
MLB,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,37471.85,202412,
MLB,리테일,리테일,인건비,"급여,성과급",인건비,인건비,273787.49,202412,
MLB,리테일,리테일,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,12433.51,202412,
MLB,마케팅,마케팅,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2033.0,202412,
MLB,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,9260425.89,202412,
MLB,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,55288.0,202412,
MLB,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,118223.46,202412,
MLB,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,646398.03,202412,
MLB,마케팅,마케팅,인건비,"파트타임,인턴",노무비,노무비,5671.27,202412,
MLB,마케팅,마케팅,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,46325.29,202412,
MLB,온라인,온라인,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,1020.07,202412,
MLB,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,68758.0,202412,
MLB,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,147033.51,202412,
MLB,온라인,온라인,인건비,"급여,성과급",인건비,인건비,677249.97,202412,
MLB,온라인,온라인,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,30407.8,202412,
MLB,유통MD,유통MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,17852.0,202412,
MLB,유통MD,유통MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,38173.14,202412,
MLB,유통MD,유통MD,인건비,"급여,성과급",인건비,인건비,187692.0,202412,
MLB,인테리어,인테리어,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,3738.96,202412,
MLB,인테리어,인테리어,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,30852.0,202412,
MLB,인테리어,인테리어,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,65971.59,202412,
MLB,인테리어,인테리어,인건비,"급여,성과급",인건비,인건비,487986.59,202412,
MLB,인테리어,인테리어,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,42202.96,202412,
MLB,인테리어,인테리어,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,9207.34,202412,
