브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
공통,Business Development,Business Development,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,119.2,202403,
공통,Business Development,Business Development,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,91.26,202403,
공통,Business Operation,Business Operation,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,23149.5,202403,
공통,Business Plan,Business Plan,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,1018.45,202403,
공통,Business Plan,Business Plan,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,7685.0,202403,
공통,Business Plan,Business Plan,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,17136.96,202403,
공통,Business Plan,Business Plan,인건비,"급여,성과급",인건비,인건비,-172925.97,202403,
공통,Client Service,Client Service,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,141.57,202403,
공통,IT,IT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,36.87,202403,
공통,IT,IT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,34744.67,202403,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,137176.77,202403,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_홈페이지등,감가상각비_홈페이지등,1185.68,202403,
공통,IT,IT,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,63.77,202403,
공통,IT,IT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,2177.78,202403,
공통,IT,IT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,779.67,202403,
공통,IT,IT,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,20202.0,202403,
공통,IT,IT,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,45049.46,202403,
공통,IT,IT,복리후생비,식대,복리후생비_식대,복리후생비_식대,232.0,202403,
공통,IT,IT,인건비,"급여,성과급",인건비,인건비,184517.67,202403,
공통,IT,IT,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,421175.18,202403,
공통,MD,MD,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,191.29,202403,
공통,MD,MD,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,4762.0,202403,
공통,MD,MD,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,4276.39,202403,
공통,MD,MD,기타,접대비,접대비,접대비,381.5,202403,
공통,MD,MD,복리후생비,식대,복리후생비_식대,복리후생비_식대,556.28,202403,
공통,MD,MD,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,65648.63,202403,
공통,MD,MD,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,2306.08,202403,
공통,MGT,MGT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,1022.18,202403,
공통,MGT,MGT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,2123.93,202403,
공통,MGT,MGT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,2198.0,202403,
공통,MGT,MGT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,6959.88,202403,
공통,MGT,MGT,기타,접대비,접대비,접대비,20162.0,202403,
공통,MGT,MGT,복리후생비,식대,복리후생비_식대,복리후생비_식대,7004.3,202403,
공통,MGT,MGT,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,108441.42,202403,
공통,MGT,MGT,인건비,"급여,성과급",인건비,인건비,-386786.27,202403,
공통,MGT,MGT,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,40212.45,202403,
공통,MP(상품기획),MP(상품기획),기타,사무용품비,소모품비_사무용품,소모품비_사무용품,919.0,202403,
공통,MP(상품기획),MP(상품기획),기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,288.9,202403,
공통,MP(상품기획),MP(상품기획),복리후생비,식대,복리후생비_식대,복리후생비_식대,160.0,202403,
공통,Process Inovation,Process Inovation,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,46925.46,202403,
공통,Process Inovation,Process Inovation,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,474.24,202403,
공통,Process Inovation,Process Inovation,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,12409.0,202403,
공통,Process Inovation,Process Inovation,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,27671.66,202403,
공통,Process Inovation,Process Inovation,인건비,"급여,성과급",인건비,인건비,325446.64,202403,
공통,Supply Chain,Supply Chain,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,4537.3,202403,
공통,Supply Chain,Supply Chain,광고비,샘플사용,간접 샘플 수수료,간접 샘플 수수료,4537.64,202403,
공통,Supply Chain,Supply Chain,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,30510.61,202403,
공통,Supply Chain,Supply Chain,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,1198.01,202403,
공통,Supply Chain,Supply Chain,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,43271.0,202403,
공통,Supply Chain,Supply Chain,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,97088.86,202403,
공통,Supply Chain,Supply Chain,인건비,"급여,성과급",인건비,인건비,526360.23,202403,
공통,Supply Chain,Supply Chain,인건비,"파트타임,인턴",노무비,노무비,344146.58,202403,
공통,Supply Chain,Supply Chain,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,1848.26,202403,
공통,VMD,VMD,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,921.13,202403,
공통,VMD,VMD,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,7017.59,202403,
공통,VMD,VMD,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,-8396.24,202403,
공통,Wholesale,Wholesale,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,115.52,202403,
공통,Wholesale,Wholesale,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,5042.85,202403,
공통,Wholesale,Wholesale,복리후생비,식대,복리후생비_식대,복리후생비_식대,117.9,202403,
공통,구매,구매,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,223.67,202403,
공통,구매,구매,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,21.51,202403,
공통,구매,구매,인건비,"급여,성과급",인건비,인건비,4085.0,202403,
공통,리테일,리테일,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,259.91,202403,
공통,리테일,리테일,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,2447.28,202403,
공통,리테일,리테일,기타,통신비,통신비,통신비,400.0,202403,
공통,리테일,리테일,복리후생비,식대,복리후생비_식대,복리후생비_식대,1769.86,202403,
공통,마케팅,마케팅,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,4534.77,202403,
공통,마케팅,마케팅,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,4685.84,202403,
공통,마케팅,마케팅,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,4221.88,202403,
공통,마케팅,마케팅,기타,접대비,접대비,접대비,584.2,202403,
공통,마케팅,마케팅,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,92556.08,202403,
공통,법무,법무,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,405.54,202403,
공통,법무,법무,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,103.07,202403,
공통,법무,법무,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,29.6,202403,
공통,법무,법무,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,12559.0,202403,
공통,법무,법무,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,987.0,202403,
공통,법무,법무,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,28002.81,202403,
공통,법무,법무,복리후생비,식대,복리후생비_식대,복리후생비_식대,40.0,202403,
공통,법무,법무,인건비,"급여,성과급",인건비,인건비,180768.66,202403,
공통,법무,법무,인건비,"파트타임,인턴",노무비,노무비,2457.69,202403,
공통,법무,법무,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,133831.46,202403,
공통,온라인,온라인,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,313.21,202403,
공통,온라인,온라인,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,527.89,202403,
공통,온라인,온라인,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,8988.93,202403,
공통,유통MD,유통MD,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,338.87,202403,
