브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
DX,MD,MD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,6720.0,202505,
DX,MD,MD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,14392.0,202505,
DX,MD,MD,인건비,"급여,성과급",인건비,인건비,154074.8,202505,
DX,MD,MD,인건비,"파트타임,인턴",노무비,노무비,3932.7,202505,
DX,MD,MD,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,5965.0,202505,
DX,MO,MO,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,-0.01,202505,
DX,VMD,VMD,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,503.8,202505,
DX,VMD,VMD,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,8527.0,202505,
DX,VMD,VMD,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,18262.86,202505,
DX,VMD,VMD,인건비,"급여,성과급",인건비,인건비,87512.73,202505,
DX,VMD,VMD,인건비,"파트타임,인턴",노무비,노무비,2041.94,202505,
DX,VMD,VMD,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,3524.52,202505,
DX,리테일,리테일,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,13783.0,202505,
DX,리테일,리테일,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,29519.08,202505,
DX,리테일,리테일,인건비,"급여,성과급",인건비,인건비,203402.66,202505,
DX,마케팅,마케팅,광고비,마케팅,광고선전비_MKT광고,광고선전비_MKT광고,3452921.23,202505,
DX,마케팅,마케팅,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,17220.0,202505,
DX,마케팅,마케팅,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,36879.5,202505,
DX,마케팅,마케팅,인건비,"급여,성과급",인건비,인건비,191730.66,202505,
DX,온라인,온라인,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,10670.0,202505,
DX,온라인,온라인,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,22852.7,202505,
DX,온라인,온라인,인건비,"급여,성과급",인건비,인건비,120002.73,202505,
DX,인테리어,인테리어,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,2766.45,202505,
